Number,HitsLastMonth,MissStreak,MissStreak_RollingMean,MissStreak_RollingStd,MissStreak_RollingSum,ThompsonProb
13,3.0,0,0.5,0.8366600265340756,3.0,0.21248752244762306
14,0.0,0,0.0,0.0,0.0,0.011865652419472765
15,1.0,0,0.3333333333333333,0.816496580927726,2.0,0.2358051676650241
16,0.0,0,0.0,0.0,0.0,0.046419058666125314
17,2.0,0,0.8333333333333334,1.3291601358251257,5.0,0.7148150243603562
18,0.0,0,0.0,0.0,0.0,0.018083265959713726
19,0.0,0,0.0,0.0,0.0,0.1014262673860735
20,1.0,0,0.16666666666666666,0.408248290463863,1.0,0.13242581158213235
21,0.0,0,0.0,0.0,0.0,0.15712406003153487
22,0.0,0,0.0,0.0,0.0,0.24051896059078198
23,0.0,0,0.0,0.0,0.0,0.10066129826772248
24,0.0,0,0.0,0.0,0.0,0.12701973968966837
25,1.0,0,0.16666666666666666,0.408248290463863,1.0,0.05304994761094718
26,3.0,3,1.3333333333333333,1.505545305418162,8.0,0.21216435766308148
27,0.0,0,0.0,0.0,0.0,0.06528278374115767
28,0.0,0,0.0,0.0,0.0,0.13575166597680596
29,1.0,0,0.5,1.224744871391589,3.0,0.07738262314837005
30,0.0,0,0.0,0.0,0.0,0.03176711363990179
31,3.0,3,1.5,1.6431676725154984,9.0,0.581673197895934
32,0.0,0,0.0,0.0,0.0,0.27350263839902267
33,1.0,5,0.8333333333333334,2.041241452319315,5.0,0.2630687387572888
34,2.0,0,0.6666666666666666,1.0327955589886444,4.0,0.6404102876888097
35,1.0,5,0.8333333333333334,2.041241452319315,5.0,0.36773894225278586
36,0.0,0,0.0,0.0,0.0,0.03099472998147172
37,1.0,0,0.6666666666666666,1.632993161855452,4.0,0.2366151584514398
38,2.0,0,0.0,0.0,0.0,0.42281063262927315
39,2.0,4,0.6666666666666666,1.632993161855452,4.0,0.36421581721628055
40,0.0,0,0.0,0.0,0.0,0.03342489741356616
41,2.0,0,0.5,1.224744871391589,3.0,0.3207517644332709
42,0.0,0,0.0,0.0,0.0,0.07986625522790869
43,2.0,0,0.5,1.224744871391589,3.0,0.23755018622352694
44,0.0,0,0.0,0.0,0.0,0.14973006792062357
45,1.0,0,0.0,0.0,0.0,0.35093508122559647
46,2.0,0,0.0,0.0,0.0,0.5082685573316863
47,0.0,0,0.0,0.0,0.0,0.13485636515396843
48,1.0,5,0.8333333333333334,2.041241452319315,5.0,0.37041067802529
49,2.0,0,0.6666666666666666,1.0327955589886444,4.0,0.5197438898776364
1,0.0,0,0.0,0.0,0.0,0.19409273350483566
2,1.0,0,0.2857142857142857,0.7559289460184545,2.0,0.16327581602137775
3,2.0,0,0.42857142857142855,0.7867957924694432,3.0,0.4590982700027505
4,0.0,0,0.0,0.0,0.0,0.17805446085549537
5,1.0,0,0.14285714285714285,0.37796447300922725,1.0,0.01030494437376223
6,0.0,0,0.0,0.0,0.0,0.15799646318788596
7,0.0,0,0.0,0.0,0.0,0.19411079492746416
8,3.0,0,0.8571428571428571,1.2149857925879117,6.0,0.22439781139350232
9,1.0,6,0.8571428571428571,2.2677868380553634,6.0,0.2290155957048709
10,0.0,0,0.0,0.0,0.0,0.21892509764431434
11,0.0,0,0.0,0.0,0.0,0.023750272053937083
12,1.0,0,0.42857142857142855,1.1338934190276817,3.0,0.1428805677681746
13,3.0,0,0.42857142857142855,0.7867957924694431,3.0,0.24496276502361117
14,0.0,0,0.0,0.0,0.0,0.02474088182001383
15,1.0,0,0.2857142857142857,0.7559289460184545,2.0,0.22423677231443517
16,0.0,0,0.0,0.0,0.0,0.04316764288147395
17,2.0,0,0.7142857142857143,1.2535663410560174,5.0,0.13597491600587172
18,0.0,0,0.0,0.0,0.0,0.033835453349255376
19,0.0,0,0.0,0.0,0.0,0.30037012107538136
20,1.0,0,0.14285714285714285,0.37796447300922725,1.0,0.15295752719319514
21,0.0,0,0.0,0.0,0.0,0.08383906425183613
22,0.0,0,0.0,0.0,0.0,0.2560260234939592
23,1.0,6,0.8571428571428571,2.2677868380553634,6.0,0.09031609780652497
24,0.0,0,0.0,0.0,0.0,0.37885652525359104
25,1.0,0,0.14285714285714285,0.37796447300922725,1.0,0.1446830025527786
26,3.0,0,1.1428571428571428,1.4638501094227998,8.0,0.4855555016596446
27,1.0,6,0.8571428571428571,2.2677868380553634,6.0,0.13612329348379296
28,0.0,0,0.0,0.0,0.0,0.0006660996296079036
29,1.0,0,0.42857142857142855,1.1338934190276817,3.0,0.41344850259713734
30,0.0,0,0.0,0.0,0.0,0.11132325116977616
31,3.0,0,1.2857142857142858,1.6035674514745464,9.0,0.5708539330644279
32,0.0,0,0.0,0.0,0.0,0.04160543323185961
33,1.0,0,0.7142857142857143,1.889822365046136,5.0,0.19825549184313299
34,2.0,0,0.5714285714285714,0.9759000729485332,4.0,0.36511498947837884
35,1.0,0,0.7142857142857143,1.889822365046136,5.0,0.09552994330139593
36,1.0,6,0.8571428571428571,2.2677868380553634,6.0,0.13741393420196746
37,1.0,0,0.5714285714285714,1.511857892036909,4.0,0.39798052520899535
38,2.0,0,0.0,0.0,0.0,0.34433990772559225
39,2.0,0,0.5714285714285714,1.511857892036909,4.0,0.7085555102946107
40,0.0,0,0.0,0.0,0.0,0.09091422257540428
41,2.0,0,0.42857142857142855,1.1338934190276817,3.0,0.5893294229314507
42,0.0,0,0.0,0.0,0.0,0.009794233468549128
43,3.0,4,1.0,1.7320508075688772,7.0,0.358335974990576
44,1.0,6,0.8571428571428571,2.2677868380553634,6.0,0.2211623365918328
45,1.0,0,0.0,0.0,0.0,0.5940183133748783
46,3.0,4,0.5714285714285714,1.511857892036909,4.0,0.26048709543145815
47,0.0,0,0.0,0.0,0.0,0.12332110343123436
48,1.0,0,0.7142857142857143,1.889822365046136,5.0,0.16958540792061108
49,2.0,0,0.5714285714285714,0.9759000729485332,4.0,0.10579821576707531
1,0.0,0,0.0,0.0,0.0,0.016846482326689803
2,2.0,6,1.0,2.138089935299395,8.0,0.3447800973577471
3,2.0,0,0.375,0.7440238091428449,3.0,0.34635484944300116
4,0.0,0,0.0,0.0,0.0,0.10747809460352138
5,1.0,0,0.125,0.3535533905932738,1.0,0.3077350190175876
