Number,HitsLastMonth,MissStreak,MissStreak_RollingMean,MissStreak_RollingStd,MissStreak_RollingSum,ThompsonProb
48,0.0,0,0.0,0.0,0.0,0.42469120160779605
49,1.0,2,0.6666666666666666,1.1547005383792517,2.0,0.5682220841453195
1,0.0,0,0.0,0.0,0.0,0.2863777626907018
2,1.0,0,0.5,1.0,2.0,0.6152624516458146
3,2.0,2,0.75,0.9574271077563381,3.0,0.17295281818701674
4,0.0,0,0.0,0.0,0.0,0.6575019934391291
5,1.0,0,0.25,0.5,1.0,0.3331335672046039
6,0.0,0,0.0,0.0,0.0,0.28727717824262583
7,0.0,0,0.0,0.0,0.0,0.05739582765330541
8,2.0,2,0.75,0.9574271077563381,3.0,0.3533954185160754
9,0.0,0,0.0,0.0,0.0,0.01862303429392659
10,0.0,0,0.0,0.0,0.0,0.22934069425212683
11,0.0,0,0.0,0.0,0.0,0.11882165542800814
12,1.0,3,0.75,1.5,3.0,0.2777988803742081
13,2.0,0,0.25,0.5,1.0,0.511997788292469
14,0.0,0,0.0,0.0,0.0,0.5664431319809321
15,1.0,0,0.5,1.0,2.0,0.07454241531609161
16,0.0,0,0.0,0.0,0.0,0.4286167674592917
17,1.0,0,0.5,1.0,2.0,0.6384511098998554
18,0.0,0,0.0,0.0,0.0,0.029173565211852912
19,0.0,0,0.0,0.0,0.0,0.10258420551742702
20,1.0,0,0.25,0.5,1.0,0.3806764304479664
21,0.0,0,0.0,0.0,0.0,0.029077889696911465
22,0.0,0,0.0,0.0,0.0,0.05261796640750913
23,0.0,0,0.0,0.0,0.0,0.02940341341217312
24,0.0,0,0.0,0.0,0.0,0.4877019245559854
25,1.0,0,0.25,0.5,1.0,0.5302033646241906
26,1.0,0,0.5,1.0,2.0,0.5090180649692059
27,0.0,0,0.0,0.0,0.0,0.1523637560876937
28,0.0,0,0.0,0.0,0.0,0.20934732722146426
29,1.0,3,0.75,1.5,3.0,0.4654566192713651
30,0.0,0,0.0,0.0,0.0,0.009759690964038212
31,1.0,3,0.75,1.5,3.0,0.5452865932254589
32,0.0,0,0.0,0.0,0.0,0.21904572985684445
33,0.0,0,0.0,0.0,0.0,0.10440045938035486
34,2.0,2,1.0,1.1547005383792515,4.0,0.624933477200582
35,0.0,0,0.0,0.0,0.0,0.03761168182906107
36,0.0,0,0.0,0.0,0.0,0.12748954436873566
37,0.0,0,0.0,0.0,0.0,0.2923866100727955
38,2.0,0,0.0,0.0,0.0,0.6104381544662247
39,1.0,0,0.0,0.0,0.0,0.1994109969036838
40,0.0,0,0.0,0.0,0.0,0.3155303439286017
41,1.0,0,0.0,0.0,0.0,0.29205545079744566
42,0.0,0,0.0,0.0,0.0,0.007609726672520894
43,1.0,0,0.0,0.0,0.0,0.726905662477699
44,0.0,0,0.0,0.0,0.0,0.0012881493706603387
45,1.0,0,0.0,0.0,0.0,0.2670473057779824
46,2.0,0,0.0,0.0,0.0,0.50167932199539
47,0.0,0,0.0,0.0,0.0,0.3463511695155614
48,0.0,0,0.0,0.0,0.0,0.051690867416530534
49,2.0,2,1.0,1.1547005383792515,4.0,0.21544775169080496
1,0.0,0,0.0,0.0,0.0,0.06544292226813182
2,1.0,0,0.4,0.894427190999916,2.0,0.13087850619807906
3,2.0,0,0.6,0.8944271909999159,3.0,0.5362838111423432
4,0.0,0,0.0,0.0,0.0,0.13609705137598826
5,1.0,0,0.2,0.447213595499958,1.0,0.4418818299102987
6,0.0,0,0.0,0.0,0.0,0.07123772100411263
7,0.0,0,0.0,0.0,0.0,0.05679971081718843
8,2.0,0,0.6,0.8944271909999159,3.0,0.47553837136745564
9,0.0,0,0.0,0.0,0.0,0.1678383515812347
10,0.0,0,0.0,0.0,0.0,0.27956563277118646
11,0.0,0,0.0,0.0,0.0,0.29147134954066267
12,1.0,0,0.6,1.3416407864998738,3.0,0.18265054934467906
13,3.0,2,0.6,0.8944271909999159,3.0,0.6351308808081442
14,0.0,0,0.0,0.0,0.0,0.11306901203380755
15,1.0,0,0.4,0.894427190999916,2.0,0.17307341432151363
16,0.0,0,0.0,0.0,0.0,0.22323115728149495
17,2.0,3,1.0,1.4142135623730951,5.0,0.544645531761771
18,0.0,0,0.0,0.0,0.0,0.15977686694493967
19,0.0,0,0.0,0.0,0.0,0.1824288022397038
20,1.0,0,0.2,0.447213595499958,1.0,0.5340022400726665
21,0.0,0,0.0,0.0,0.0,0.12488287688015856
22,0.0,0,0.0,0.0,0.0,0.2046235956953945
23,0.0,0,0.0,0.0,0.0,0.3030820490257965
24,0.0,0,0.0,0.0,0.0,0.43024908269008194
25,1.0,0,0.2,0.447213595499958,1.0,0.3681916917131341
26,2.0,3,1.0,1.4142135623730951,5.0,0.4857948932786533
27,0.0,0,0.0,0.0,0.0,0.09304342830276989
28,0.0,0,0.0,0.0,0.0,0.17980408192769734
29,1.0,0,0.6,1.3416407864998738,3.0,0.5068053289446168
